expert_type	hire_type	role_type	partner_name	agent_status_adj	attr_status_adj	training_wave	university	grad_year	major	remote	expert_cnt	ps_handle_min	ps_handle_cnt	ps_aht	ps_tnps_num	ps_tnps_denom
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	Arizona State University	Freshman	Non-Business	Onsite	1	8929.099999	517	17.270986	19	41
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	El Paso Community College	Graduate	Non-Business	Onsite	1	4737.966667	330	14.357475	4	14
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	University Of Texas - El Paso	Sophomore	Business	Onsite	1	10042.86666	487	20.621903	19	33
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	University Of Texas - El Paso	Junior	Non-Business	NaN	2	5196.950001	263	19.760266	2	17
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University of Cincinnati	Junior	Non-Business	Virtual	2	6666.966669	337	19.783284	20	30
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Senior	Business	NaN	2	1994.05	84	23.73869	5	13
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 4	Arizona State University	Freshman	Business	Onsite	1	5836.183335	459	12.714996	12	49
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University Of Arizona	Freshman	Business	Virtual	1	11420.3	511	22.348924	32	44
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	University of Utah	Junior	Business	Onsite	1	1831.400001	158	11.591139	1	3
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	University of Utah	Sophomore	Non-Business	Onsite	1	2475.450001	138	17.938043	12	15
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	University Of Texas - El Paso	Freshman	Non-Business	NaN	1	323.466667	18	17.97037	null	null
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University Of Texas - El Paso	Sophomore	Non-Business	Onsite	1	9599.283331	538	17.842534	5	33
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	Northern Kentucky University	Senior	Non-Business	Virtual	2	16101.3	977	16.480348	12	82
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 6	University of Cincinnati	Freshman	Business	Virtual	2	1545.883335	188	8.222784	8	10
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University Of Texas - El Paso	Freshman	Business	Onsite	1	960.666667	45	21.348148	1	1
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	Arizona State University	Sophomore	Business	Onsite	3	20704.86667	1357	15.257824	48	120
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	University Of Texas - El Paso	Junior	Non-Business	Virtual	1	1292.166667	94	13.746454	8	12
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	Arizona State University	Sophomore	Non-Business	Onsite	2	14766.93333	863	17.111163	70	113
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	University Of Texas - El Paso	Senior	Non-Business	NaN	1	2.333333	2	1.166667	null	null
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	University Of Texas - El Paso	Junior	Business	Onsite	1	12318.1	667	18.467916	42	68
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 6	USA | Arizona	NaN	Business	Onsite	3	255.733333	13	19.671795	0	3
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	Salt Lake Community College	Freshman	Non-Business	Onsite	1	5820.516668	349	16.677698	20	35
